CustomerID,Gender,SeniorCitizen,Tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,1,Month-to-month,UPI,298.5,298.5,No
5575-GNVDE,Male,0,34,One year,Debit Card,569.5,18895,No
3668-QPYBK,Male,0,2,Month-to-month,Debit Card,538.5,1081.5,Yes
7795-CFOCW,Male,0,45,One year,UPI,423,18407.5,No
9237-HQITU,Female,0,2,Month-to-month,UPI,707,1516.5,Yes
9305-CDSKC,Female,0,8,Month-to-month,UPI,996.5,8205,Yes
1452-KIOVK,Male,0,22,Month-to-month,Credit card (automatic),891,19494,No
6713-OKOMC,Female,0,10,Month-to-month,Debit Card,297.5,3019,No
7892-POOKP,Female,0,28,Month-to-month,UPI,1048,30460.5,Yes
6388-TABGU,Male,0,62,One year,UPI,561.5,34879.5,No
9763-GRSKD,Male,0,13,Month-to-month,Debit Card,499.5,5874.5,No
7469-LKBCI,Male,0,16,Two year,Credit card (automatic),189.5,3268,No
8091-TTVAX,Male,0,58,One year,Credit card (automatic),1003.5,56811,No
0280-XJGEX,Male,0,49,Month-to-month,UPI,1037,50363,Yes
5129-JLPIS,Male,0,25,Month-to-month,UPI,1055,26860.5,No
3655-SNQYZ,Female,0,69,Two year,Credit card (automatic),1132.5,78951.5,No
8191-XWSZG,Female,0,52,One year,Debit Card,206.5,10229.5,No
9959-WOFKT,Male,0,71,Two year,UPI,1067,73822.5,No
4190-MFLUW,Female,0,10,Month-to-month,Credit card (automatic),552,5283.5,Yes
4183-MYFRB,Female,0,21,Month-to-month,UPI,900.5,18629,No
8779-QRDMV,Male,1,1,Month-to-month,UPI,396.5,396.5,Yes
1680-VDCWW,Male,0,12,One year,UPI,198,2022.5,No
1066-JKSGK,Male,0,1,Month-to-month,Debit Card,201.5,201.5,Yes
3638-WEABW,Female,0,58,Two year,Credit card (automatic),599,35051,No
6322-HRPFA,Male,0,49,Month-to-month,Credit card (automatic),596,29703,No
6865-JZNKO,Female,0,30,Month-to-month,UPI,553,15306,No
6467-CHFZW,Male,0,47,Month-to-month,UPI,993.5,47491.5,Yes
8665-UTDHZ,Male,0,1,Month-to-month,UPI,302,302,Yes
5248-YGIJN,Male,0,72,Two year,Credit card (automatic),902.5,63694.5,No
8773-HHUOZ,Female,0,17,Month-to-month,Debit Card,647,10931,Yes
3841-NFECX,Female,1,71,Two year,Credit card (automatic),963.5,67669.5,No
4929-XIHVW,Male,1,2,Month-to-month,Credit card (automatic),955,1816.5,No
6827-IEAUQ,Female,0,27,One year,Debit Card,661.5,18744.5,No
7310-EGVHZ,Male,0,1,Month-to-month,UPI,202,202,No
3413-BMNZE,Male,1,1,Month-to-month,UPI,452.5,452.5,No
6234-RAAPL,Female,0,72,Two year,UPI,999,72517,No
6047-YHPVI,Male,0,5,Month-to-month,UPI,697,3169,Yes
6572-ADKRS,Female,0,46,Month-to-month,Credit card (automatic),748,35483,No
5380-WJKOV,Male,0,34,Month-to-month,UPI,1063.5,35492.5,Yes
8168-UQWWF,Female,0,11,Month-to-month,UPI,978.5,11054,Yes
8865-TNMNX,Male,0,10,One year,Debit Card,495.5,4757,No
9489-DEDVP,Female,0,70,Two year,Credit card (automatic),692,48723.5,No
9867-JCZSP,Female,0,17,One year,Debit Card,207.5,4182.5,No
4671-VJLCL,Female,0,63,Two year,Credit card (automatic),798.5,48614.5,No
4080-IIARD,Female,0,13,Month-to-month,UPI,762,9814.5,No
3714-NTNFO,Female,0,49,Month-to-month,UPI,845,39067,No
5948-UJZLF,Male,0,2,Month-to-month,Debit Card,492.5,970,No
7760-OYPDY,Female,0,2,Month-to-month,UPI,806.5,1441.5,Yes
7639-LIAYI,Male,0,52,Two year,Credit card (automatic),797.5,42178,No
2954-PIBKO,Female,0,69,Two year,Credit card (automatic),641.5,42541,No
8012-SOUDQ,Female,1,43,Month-to-month,UPI,902.5,38387.5,No
9420-LOJKX,Female,0,15,Month-to-month,Credit card (automatic),991,14264,Yes
6575-SUVOI,Female,1,25,Month-to-month,Credit card (automatic),695,17526.5,No
7495-OOKFY,Female,1,8,Month-to-month,Credit card (automatic),806.5,6333,Yes
4667-QONEA,Female,1,60,One year,Credit card (automatic),748.5,44563.5,No
1658-BYGOY,Male,1,18,Month-to-month,UPI,954.5,17525.5,Yes
8769-KKTPH,Female,0,63,One year,Credit card (automatic),996.5,63112,No
5067-XJQFU,Male,1,66,One year,UPI,1084.5,70763.5,No
3957-SQXML,Female,0,34,Two year,Credit card (automatic),249.5,8943,No
5954-BDFSG,Female,0,72,Two year,Credit card (automatic),1075,78537,No
0434-CSFON,Female,0,47,Month-to-month,UPI,1005,47071,No
1215-FIGMP,Male,0,60,Month-to-month,UPI,899,54507,No
0526-SXDJP,Male,0,72,Two year,UPI,421,29620,No
0557-ASKVU,Female,0,18,One year,Credit card (automatic),544,9571,No
5698-BQJOH,Female,0,9,Month-to-month,UPI,944,8572.5,Yes
5122-CYFXA,Female,0,3,Month-to-month,UPI,753,2441,No
8627-ZYGSZ,Male,0,47,One year,UPI,789,36503.5,No
3410-YOQBQ,Female,0,31,Two year,Debit Card,792,24972,No
3170-NMYVV,Female,0,50,Two year,UPI,201.5,9309,No
7410-OIEDU,Male,0,10,Month-to-month,Debit Card,798.5,8873.5,No
2273-QCKXA,Male,0,1,Month-to-month,Debit Card,490.5,490.5,No
0731-EBJQB,Female,0,52,One year,UPI,204,10906.5,No
1891-QRQSA,Male,1,64,Two year,UPI,1116,70990,No
8028-PNXHQ,Male,0,62,Two year,UPI,242.5,14246,No
5630-AHZIL,Female,0,3,Month-to-month,UPI,645,1774,No
2673-CXQEU,Female,1,56,One year,UPI,1105,61395,No
6416-JNVRK,Female,0,46,One year,Credit card (automatic),556.5,26888.5,No
5590-ZSKRV,Female,0,8,Month-to-month,Debit Card,546.5,4822.5,No
0191-ZHSKZ,Male,1,30,Month-to-month,UPI,747.5,21113,No
3887-PBQAO,Female,0,45,One year,Credit card (automatic),259,12166,No
5919-TMRGD,Female,0,1,Month-to-month,UPI,793.5,793.5,Yes
8108-UXRQN,Female,0,11,Month-to-month,UPI,505.5,5653.5,No
9191-MYQKX,Female,0,7,Month-to-month,UPI,751.5,4969,Yes
9919-YLNNG,Female,0,42,Month-to-month,UPI,1038,43275,No
0318-ZOPWS,Female,0,49,Two year,UPI,201.5,9733.5,No
4445-ZJNMU,Male,0,9,Month-to-month,Credit card (automatic),993,9187.5,No
4808-YNLEU,Female,0,35,One year,UPI,621.5,22154.5,No
1862-QRWPE,Female,0,48,Two year,UPI,206.5,10570,No
2796-NNUFI,Female,0,46,Two year,Debit Card,199.5,9271,No
3016-KSVCP,Male,0,29,Month-to-month,Debit Card,337.5,10092.5,No
4767-HZZHQ,Male,0,30,Month-to-month,UPI,820.5,25702,No
2424-WVHPL,Male,1,1,Month-to-month,UPI,747,747,No
7233-PAHHL,Male,0,66,Two year,Debit Card,840,57142.5,No
6067-NGCEU,Female,0,65,Month-to-month,Credit card (automatic),1110.5,71070,No
9848-JQJTX,Male,0,72,Two year,UPI,1009,74590.5,No
8637-XJIVR,Female,0,12,Month-to-month,UPI,789.5,9273.5,Yes
9803-FTJCG,Male,0,71,One year,Credit card (automatic),668.5,47487,No
0278-YXOOG,Male,0,5,Month-to-month,Debit Card,210.5,1138.5,Yes
3212-KXOCR,Male,0,52,Two year,UPI,210,11072,No
4598-XLKNJ,Female,1,25,Month-to-month,UPI,985,25145,Yes
6380-ARCEH,Male,0,1,Month-to-month,Debit Card,202,202,No
3679-XASPY,Female,0,1,Month-to-month,UPI,194.5,194.5,No
7123-WQUHX,Male,0,38,One year,UPI,950,36056,No
5386-THSLQ,Female,1,66,One year,UPI,455.5,30272.5,No
3192-NQECA,Male,0,68,Two year,UPI,1100,76118.5,Yes
6180-YBIQI,Male,0,5,Month-to-month,Debit Card,243,1002,No
6728-DKUCO,Female,0,72,One year,UPI,1041.5,73030.5,No
9750-BOOHV,Female,0,32,One year,Debit Card,301.5,9276.5,No
8597-CWYHH,Male,0,43,One year,Debit Card,943.5,39213,No
2848-YXSMW,Male,0,72,Two year,Credit card (automatic),194,13632.5,No
0486-HECZI,Male,0,55,Month-to-month,UPI,967.5,52389,Yes
4549-ZDQYY,Female,0,52,One year,Credit card (automatic),579.5,30422.5,No
5712-AHQNN,Female,0,43,Month-to-month,UPI,916.5,39541,No
4846-WHAFZ,Female,1,37,Month-to-month,UPI,765,28681.5,Yes
5256-SKJGO,Female,0,64,Two year,UPI,546,34235,No
3071-VBYPO,Male,0,3,Month-to-month,UPI,898.5,2484,No
9560-BBZXK,Female,0,36,Two year,UPI,310.5,11263.5,No
5299-RULOA,Female,0,10,Month-to-month,UPI,1002.5,10646.5,Yes
8402-OOOHJ,Female,0,41,Two year,Debit Card,206.5,8351.5,No
9445-ZUEQE,Male,0,27,Month-to-month,Credit card (automatic),852,21516,No
1091-SOZGA,Female,0,56,One year,Credit card (automatic),998,55154.5,No
2928-HLDBA,Female,0,6,Month-to-month,Debit Card,207,1127.5,No
0404-SWRVG,Male,0,3,Month-to-month,UPI,744,2295.5,Yes
6497-TILVL,Female,0,7,Month-to-month,Debit Card,507,3503.5,No
7219-TLZHO,Female,0,4,Month-to-month,Debit Card,208.5,629,No
4622-YNKIJ,Male,0,33,Two year,UPI,889.5,30276.5,No
4412-YLTKF,Female,1,27,Month-to-month,UPI,780.5,21355,Yes
6734-PSBAW,Male,0,72,Two year,UPI,235.5,17239.5,No
3930-ZGWVE,Male,0,1,Month-to-month,Debit Card,197.5,197.5,No
2639-UGMAZ,Male,1,71,One year,UPI,564.5,39853.5,No
2876-GZYZC,Female,0,13,Month-to-month,UPI,859.5,12156.5,No
6207-WIOLX,Female,0,25,Month-to-month,Credit card (automatic),586,15026.5,Yes
8587-XYZSF,Male,0,67,Two year,UPI,505.5,32601,No
3091-FYHKI,Male,0,1,Month-to-month,UPI,354.5,354.5,Yes
2372-HWUHI,Male,0,2,Month-to-month,UPI,443.5,812.5,Yes
7799-LGRDP,Female,0,43,Two year,Credit card (automatic),257,11882,No
7850-VWJUU,Female,0,23,Month-to-month,UPI,750,17785,No
3774-VBNXY,Female,0,64,Two year,Debit Card,202,12777.5,No
6217-KDYWC,Male,0,57,Two year,Debit Card,196,11705.5,No
0390-DCFDQ,Female,1,1,Month-to-month,Debit Card,704.5,704.5,Yes
3146-MSEGF,Female,1,72,Two year,Credit card (automatic),880.5,64256.5,No
4080-OGPJL,Female,0,8,Month-to-month,UPI,711.5,5636.5,Yes
1095-WGNGG,Female,0,61,Two year,UPI,1010.5,59712.5,No
2636-SJDOU,Male,0,64,One year,Credit card (automatic),843,52890.5,No
1131-QQZEB,Male,1,71,Two year,UPI,239.5,17562,No
5716-EZXZN,Female,0,65,Two year,Credit card (automatic),990.5,64167,No
6837-BJYDQ,Male,0,3,One year,Debit Card,196,613.5,No
2135-RXIHG,Male,0,1,Month-to-month,UPI,456.5,456.5,Yes
6440-DKQGE,Male,0,30,One year,Credit card (automatic),645,19299.5,No
3466-BYAVD,Male,0,15,Month-to-month,Debit Card,695,10714,No
3780-YVMFA,Female,0,8,Month-to-month,UPI,685.5,5643.5,No
3874-EQOEP,Male,0,7,Month-to-month,Debit Card,950,6555,Yes
1679-JRFBR,Female,0,70,One year,Credit card (automatic),1081.5,79305.5,No
9073-ZZIAY,Male,0,62,Two year,UPI,861,52152.5,No
3077-RSNTJ,Female,0,6,Month-to-month,Debit Card,197,1135,No
6551-GNYDG,Female,0,14,Month-to-month,UPI,809,11528,No
9167-APMXZ,Female,0,22,Month-to-month,UPI,841.5,18219.5,No
2749-CTKAJ,Male,0,22,One year,Debit Card,201.5,4199,No
6371-NZYEG,Male,0,16,Two year,Debit Card,642.5,10240,No
7554-NEWDD,Male,0,10,Two year,UPI,257,2516,No
8992-VONJD,Female,0,13,Month-to-month,UPI,560,7645.5,No
0867-MKZVY,Female,0,20,Month-to-month,UPI,824,15923.5,Yes
4482-EWFMI,Female,0,2,Month-to-month,UPI,697,1352,No
4648-YPBTM,Male,0,53,Two year,UPI,739,39582.5,No
2907-ILJBN,Female,0,11,One year,Debit Card,206,2339,No
6345-FZOQH,Male,0,69,Two year,Debit Card,199,13634.5,No
3376-BMGFE,Female,0,4,Month-to-month,UPI,709,2730,Yes
5997-OPVFA,Male,0,72,Two year,UPI,890.5,62544.5,No
3445-HXXGF,Male,1,58,Month-to-month,UPI,453,26512,Yes
1159-WFSGR,Female,0,16,Month-to-month,UPI,204,3214,No
7654-YWJUF,Male,0,43,One year,UPI,842.5,35392.5,No
1875-QIVME,Female,0,2,Month-to-month,UPI,1044,2428,Yes
6727-IOTLZ,Male,0,14,Two year,Debit Card,819.5,11817.5,No
0691-JVSYA,Female,0,53,One year,UPI,948.5,50002,Yes
5918-VUKWP,Female,0,32,One year,UPI,205.5,6545.5,No
1744-JHKYS,Female,0,34,Month-to-month,UPI,247,7802,No
2656-FMOKZ,Female,1,15,Month-to-month,Debit Card,744.5,11457,Yes
2070-FNEXE,Female,1,7,Month-to-month,UPI,764.5,5036,Yes
5947-SGKCL,Female,0,15,Month-to-month,UPI,1053.5,15592.5,No
3712-PKXZA,Male,0,61,One year,Credit card (automatic),205.5,12520,No
6317-YPKDH,Female,0,1,Month-to-month,UPI,299.5,299.5,Yes
6582-OIVSP,Female,0,1,Month-to-month,Debit Card,453,453,No
9367-WXLCH,Male,0,8,Month-to-month,UPI,845,6626.5,Yes
5524-KHNJP,Male,0,33,One year,Credit card (automatic),747.5,24533,No
1918-ZBFQJ,Female,0,13,Month-to-month,UPI,792.5,11116.5,Yes
1024-GUALD,Female,0,1,Month-to-month,UPI,248,248,Yes
4827-USJHP,Male,0,20,Month-to-month,Debit Card,518,10238.5,No
8167-GJLRN,Male,0,3,Month-to-month,UPI,304,821.5,No
0956-SYCWG,Female,0,13,One year,UPI,196.5,2448,No
